総合順位	No	氏名	年齢	性別	居住地	総合記録	スイムラップ	S順	バイクラップ	B順	スプリット通過	ランラップ	R順	男子順位	女子順位
23	23	伊藤 博	45	女	埼玉県	3:03:07	0:36:37	1	1:49:52	45	2:26:29	0:36:37	33		23
24	24	高橋 勇	53	男	栃木県	2:58:25	0:35:41	28	1:47:03	17	2:22:44	0:35:41	13	24	
25	25	伊藤 光	30	男	茨城県	2:57:12	0:35:26	59	1:46:19	30	2:21:45	0:35:26	30	25	
26	26	鈴木 浩	28	男	神奈川県	3:13:17	0:38:39	35	1:55:58	27	2:34:37	0:38:39	22	26	
27	27	高橋 裕	50	男	千葉県	3:26:51	0:41:22	28	2:04:06	18	2:45:28	0:41:22	29	27	
28	28	中村 光	60	男	千葉県	2:52:08	0:34:25	30	1:43:16	53	2:17:42	0:34:25	43	28	
29	29	佐藤 誠	31	女	栃木県	2:55:12	0:35:02	41	1:45:07	1	2:20:09	0:35:02	7		29
30	30	山田 和	69	女	埼玉県	3:27:04	0:41:24	56	2:04:14	47	2:45:39	0:41:24	5		30
31	31	加藤 清	26	女	群馬県	3:00:55	0:36:11	18	1:48:33	53	2:24:44	0:36:11	36		31
32	32	井上 太郎	44	女	千葉県	3:18:02	0:39:36	22	1:58:49	47	2:38:25	0:39:36	33		32
33	33	佐藤 智	21	男	埼玉県	3:16:56	0:39:23	30	1:58:09	44	2:37:32	0:39:23	4	33	
34	34	山田 清	58	女	茨城県	3:35:32	0:43:06	58	2:09:19	5	2:52:25	0:43:06	41		34
35	35	井上 次郎	38	男	神奈川県	3:29:15	0:41:51	32	2:05:33	60	2:47:24	0:41:51	44	35	
36	36	山崎 智	64	男	埼玉県	3:42:15	0:44:27	18	2:13:21	58	2:57:48	0:44:27	4	36	
37	37	佐々木 次郎	64	女	茨城県	3:30:35	0:42:07	2	2:06:21	40	2:48:28	0:42:07	33		37
38	38	山本 雅	59	男	群馬県	3:50:12	0:46:02	44	2:18:07	54	3:04:09	0:46:02	3	38	
39	39	鈴木 真	19	女	栃木県	3:53:53	0:46:46	29	2:20:19	54	3:07:06	0:46:46	18		39
40	40	吉田 三郎	27	男	茨城県	3:52:08	0:46:25	13	2:19:16	22	3:05:42	0:46:25	20	40	
41	41	渡辺 隆	26	女	神奈川県	3:51:55	0:46:23	7	2:19:09	13	3:05:32	0:46:23	1		41
42	42	井上 裕	68	女	千葉県	3:39:34	0:43:54	10	2:11:44	56	2:55:39	0:43:54	55		42
43	43	渡辺 三郎	37	男	群馬県	3:59:43	0:47:56	9	2:23:49	35	3:11:46	0:47:56	25	43	
44	44	鈴木 正	23	女	神奈川県	3:49:12	0:45:50	22	2:17:31	1	3:03:21	0:45:50	25		44
45	45	井上 智	47	女	埼玉県	4:09:26	0:49:53	6	2:29:39	48	3:19:32	0:49:53	18		45
46	46	松本 剛	60	男	神奈川県	4:19:32	0:51:54	53	2:35:43	36	3:27:37	0:51:54	16	46	
47	47	中村 明	56	男	群馬県	3:56:52	0:47:22	31	2:22:07	19	3:09:29	0:47:22	12	47	
48	48	田中 清	25	女	群馬県	4:31:36	0:54:19	23	2:42:57	25	3:37:16	0:54:19	7		48
49	49	吉田 隆	33	男	茨城県	4:07:47	0:49:33	4	2:28:40	5	3:18:13	0:49:33	14	49	
50	50	清水 三郎	69	女	埼玉県	4:05:46	0:49:09	38	2:27:27	44	3:16:36	0:49:09	57		50
51	51	中村 和	54	男	東京都	4:24:09	0:52:49	20	2:38:29	40	3:31:19	0:52:49	43	51	
52	52	山崎 剛	58	男	東京都	4:38:19	0:55:39	40	2:46:59	34	3:42:39	0:55:39	32	52	
53	53	木村 光	41	男	茨城県	4:16:29	0:51:17	25	2:33:53	35	3:25:11	0:51:17	45	53	
54	54	伊藤 誠	69	女	東京都	4:44:32	0:56:54	19	2:50:43	46	3:47:37	0:56:54	25		54
55	55	山田 次郎	67	男	千葉県	4:19:59	0:51:59	38	2:35:59	27	3:27:59	0:51:59	2	55	
